UID,DATETIME,10m_rainfall,1hr_rainfall,3hr_rainfall,rainfallobservation_position_lat,rainfallobservation_position_lon,gutter_level,gutter_height,gutter_position_lat,gutter_position_lon,river_level,bridge_name,riverobservation_position_lat,riverobservation_position_lon,danger_level
7_I,2023-08-24 00:00:00,0.0,1.0,1.5,35.192586,129.088421,0,670,35.192586,129.088421,0.231,Sebyeong,35.196918,129.082638,0
7_I,2023-08-24 00:01:00,0.0,1.0,1.5,35.192586,129.088421,0,670,35.192586,129.088421,0.231,Sebyeong,35.196918,129.082638,0
7_I,2023-08-24 00:02:00,0.0,1.0,1.5,35.192586,129.088421,0,670,35.192586,129.088421,0.23,Sebyeong,35.196918,129.082638,0
7_I,2023-08-24 00:03:00,0.0,1.0,1.5,35.192586,129.088421,0,670,35.192586,129.088421,0.23,Sebyeong,35.196918,129.082638,0
7_I,2023-08-24 00:04:00,0.0,1.0,1.5,35.192586,129.088421,0,670,35.192586,129.088421,0.232,Sebyeong,35.196918,129.082638,0
7_I,2023-08-24 00:05:00,0.0,1.0,1.5,35.192586,129.088421,0,670,35.192586,129.088421,0.231,Sebyeong,35.196918,129.082638,0
7_I,2023-08-24 00:06:00,0.0,1.0,1.5,35.192586,129.088421,0,670,35.192586,129.088421,0.232,Sebyeong,35.196918,129.082638,0
7_I,2023-08-24 00:07:00,0.0,1.0,1.5,35.192586,129.088421,0,670,35.192586,129.088421,0.231,Sebyeong,35.196918,129.082638,0
7_I,2023-08-24 00:08:00,0.0,1.0,1.5,35.192586,129.088421,0,670,35.192586,129.088421,0.231,Sebyeong,35.196918,129.082638,0
7_I,2023-08-24 00:09:00,0.0,1.0,1.5,35.192586,129.088421,0,670,35.192586,129.088421,0.232,Sebyeong,35.196918,129.082638,0
7_I,2023-08-24 00:10:00,0.0,1.0,1.5,35.192586,129.088421,0,670,35.192586,129.088421,0.23,Sebyeong,35.196918,129.082638,0
7_I,2023-08-24 00:11:00,0.0,1.0,1.5,35.192586,129.088421,0,670,35.192586,129.088421,0.23,Sebyeong,35.196918,129.082638,0
7_I,2023-08-24 00:12:00,0.0,1.0,1.5,35.192586,129.088421,0,670,35.192586,129.088421,0.232,Sebyeong,35.196918,129.082638,0
7_I,2023-08-24 00:13:00,0.0,1.0,1.5,35.192586,129.088421,0,670,35.192586,129.088421,0.232,Sebyeong,35.196918,129.082638,0
7_I,2023-08-24 00:14:00,0.0,1.0,1.5,35.192586,129.088421,0,670,35.192586,129.088421,0.232,Sebyeong,35.196918,129.082638,0
7_I,2023-08-24 00:15:00,0.0,1.0,1.5,35.192586,129.088421,0,670,35.192586,129.088421,0.232,Sebyeong,35.196918,129.082638,0
7_I,2023-08-24 00:16:00,0.0,1.0,1.5,35.192586,129.088421,0,670,35.192586,129.088421,0.231,Sebyeong,35.196918,129.082638,0
7_I,2023-08-24 00:17:00,0.0,1.0,1.5,35.192586,129.088421,0,670,35.192586,129.088421,0.232,Sebyeong,35.196918,129.082638,0
7_I,2023-08-24 00:18:00,0.0,1.0,1.5,35.192586,129.088421,0,670,35.192586,129.088421,0.233,Sebyeong,35.196918,129.082638,0
7_I,2023-08-24 00:19:00,0.0,1.0,1.5,35.192586,129.088421,0,670,35.192586,129.088421,0.233,Sebyeong,35.196918,129.082638,0
7_I,2023-08-24 00:20:00,0.0,1.0,1.5,35.192586,129.088421,0,670,35.192586,129.088421,0.233,Sebyeong,35.196918,129.082638,0
7_I,2023-08-24 00:21:00,0.0,1.0,1.5,35.192586,129.088421,0,670,35.192586,129.088421,0.232,Sebyeong,35.196918,129.082638,0
7_I,2023-08-24 00:22:00,0.0,1.0,1.5,35.192586,129.088421,0,670,35.192586,129.088421,0.233,Sebyeong,35.196918,129.082638,0
7_I,2023-08-24 00:23:00,0.0,1.0,1.5,35.192586,129.088421,0,670,35.192586,129.088421,0.233,Sebyeong,35.196918,129.082638,0
7_I,2023-08-24 00:24:00,0.0,0.5,1.5,35.192586,129.088421,0,670,35.192586,129.088421,0.233,Sebyeong,35.196918,129.082638,0
7_I,2023-08-24 00:25:00,0.0,0.5,1.5,35.192586,129.088421,0,670,35.192586,129.088421,0.234,Sebyeong,35.196918,129.082638,0
7_I,2023-08-24 00:26:00,0.0,0.5,1.5,35.192586,129.088421,0,670,35.192586,129.088421,0.233,Sebyeong,35.196918,129.082638,0
7_I,2023-08-24 00:27:00,0.0,0.0,1.5,35.192586,129.088421,0,670,35.192586,129.088421,0.232,Sebyeong,35.196918,129.082638,0
7_I,2023-08-24 00:28:00,0.0,0.0,1.5,35.192586,129.088421,0,670,35.192586,129.088421,0.233,Sebyeong,35.196918,129.082638,0
7_I,2023-08-24 00:29:00,0.0,0.0,1.5,35.192586,129.088421,0,670,35.192586,129.088421,0.233,Sebyeong,35.196918,129.082638,0
7_I,2023-08-24 00:30:00,0.0,0.0,1.5,35.192586,129.088421,0,670,35.192586,129.088421,0.233,Sebyeong,35.196918,129.082638,0
7_I,2023-08-24 00:31:00,0.0,0.0,1.5,35.192586,129.088421,0,670,35.192586,129.088421,0.232,Sebyeong,35.196918,129.082638,0
7_I,2023-08-24 00:32:00,0.0,0.0,1.5,35.192586,129.088421,0,670,35.192586,129.088421,0.233,Sebyeong,35.196918,129.082638,0
7_I,2023-08-24 00:33:00,0.0,0.0,1.5,35.192586,129.088421,0,670,35.192586,129.088421,0.234,Sebyeong,35.196918,129.082638,0
7_I,2023-08-24 00:34:00,0.0,0.0,1.5,35.192586,129.088421,0,670,35.192586,129.088421,0.234,Sebyeong,35.196918,129.082638,0
7_I,2023-08-24 00:35:00,0.0,0.0,1.5,35.192586,129.088421,0,670,35.192586,129.088421,0.234,Sebyeong,35.196918,129.082638,0
